링스모텔,전라북도 군산시 장미1길 23,4.2,22건,9
사랑나무 한옥펜션,전라북도 전주시 완산구 은행로 96,4.3,12건,5
쏠모텔,전라북도 군산시 상나운3길 11,0.0,0건,0
더샾모텔,전라북도 군산시 서래내길 39,3.5,4건,0
블루모텔,전라북도 군산시 백릉안1길 9,2.3,3건,0
달,전라북도 군산시 구영3길 21-2,4.5,50건,2
그 여자네 집,전라북도 전주시 완산구 향교길 101,0.0,0건,17
파라다이스 호텔,전라북도 군산시 조촌1길 21,2.9,8건,0
대성 정담한옥[한국관광 품질인증/Korea Quality],전라북도 전주시 완산구 고덕산1길 30,5.0,1건,1
하늘풍경,전라북도 전주시 완산구 향교길 51-13,0.0,0건,0
국일모던 게스트하우스,전라북도 군산시 중앙로 183,0.0,0건,0
전통문화체험장,전라북도 완주군 대아저수로 416 완주전통문화체험장,0.0,0건,2
콩쥐팥쥐 관광 한옥리조트,전라북도 완주군 이서면 신지앵곡길 237-10,,0건,0
전주한옥고희,전라북도 전주시 완산구 빙고리3길 5,,4건,14
똘랑(똘랑코티지),전라북도 전주시 완산구 서학로 63-17,,3건,4
뜨레가,전라북도 전주시 완산구 전주천동로 58-10,0.0,1건,3
산들 게스트하우스,전라북도 군산시 동국사길 7-3,3.0,3건,1
예원당(한옥체험 예원당),전라북도 전주시 완산구 어진길 33-10,5.0,38건,12
라한호텔 전주,전라북도 군산시 구영1길 6,3.0,13건,233
쿨쿨달몽,전라북도 무주군 구천동로 1051,5.0,0건,1
무주오리펜션,전라북도 전주시 완산구 향교길 155-11,4.7,2건,4
아뜰리에 걷다가,전라북도 무주군 설천면 만선로 36-37,4.9,4건,24
스노우밸리펜션(스노우밸리),전라북도 군산시 구영3길 67,0.0,0건,0
꿀잠,전라북도 무주군 설천면 보안길 90,4.5,0건,0
양지 뜰 펜션(무주양지뜰펜션),전라북도 전주시 완산구 동문길 57-8,3.5,4건,3
마이스테이,전라북도 전주시 완산구 팔달로 58-3,0.0,5건,6
도원,전라북도 전주시 완산구 경기전길 125-9,0.0,5건,6
가원당,전라북도 군산시 은파순환길 20 (나운동),4.5,12건,17
호텔은파팰리스,전라북도 남원시 운봉읍 용산리,4.0,82건,133
오헤브데이호텔,전라북도 부안군 변산면 격포리,4.0,4건,136
해피트리가족호텔,전라북도 전주시 완산구 오목대길 5-19 (교동),4.2,0건,3
이오이일,전라북도 전주시 완산구 전주천서로 81 (동서학동),4.4,18건,190
