해넘이펜션,전라북도 부안군 변산면 변산해변로 188,063-582-7500,0
양지민박,전라북도 군산시 옥도면 어청도길 55-1,063-466-0607,0
라메르펜션,전라북도 부안군 격포로 212,070-4364-9419,0
레인보우펜션,전라북도 부안군 변산면 고사길 96-3,010-3752-2357,0
전주 카누호텔,전라북도 전주시 덕진구 산정2길 12-7,063-245-8147,0
노을빛언덕펜션,전라북도 부안군 변산면 격포반월길 63,010-5460-7880,0
레몬테라스,전라북도 부안군 변산면 고사길 86,063-584-1153,0
책방,전라북도 군산시 구영5길 100,010-8760-4678,0
발리펜션,전라북도 부안군 변산면 지서로 185,1833-6682,0
오케이모텔,전라북도 군산시 백릉안5길 59,063-446-6600,0
궁항리조트,전라북도 부안군 변산면 궁항로 150-1,063-581-2233,0
라비치호텔,전라북도 군산시 비응남로 36,0507-1366-2701,0
예스모텔,전라북도 군산시 가도안1길 61,063-464-6081,0
블루원 모텔,전라북도 전주시 덕진구 용산2길 18,063-251-3385,0
베스트웨스턴플러스전주호텔,전라북도 전주시 완산구 현무1길 41,063-231-7777,0
라비치펜션,전라북도 부안군 변산면 고사길 90,063-584-5939,0
네버엔딩스토리,전라북도 부안군 변산면 대항길 71,0507-1431-2800,0
XO모텔,전라북도 전주시 덕진구 용산1길 17-1,063-274-8902,0
무주스키텔,전라북도 무주군 설천면 만선로 36-19,010-9631-1577,0
파이체르(구 짬모텔),전라북도 군산시 미원1길 9,063-442-9337,0
차칸호텔,전라북도 군산시 소룡1길 58,0507-1400-6206,0
엘리스호텔,전라북도 군산시 가도안1길 19,0507-1359-2277,0
사랑가득[한국관광 품질인증/Korea Quality],전라북도 전주시 완산구 향교길 149-8,010-7451-3355,0
크로바모텔,전라북도 군산시 부곡3길 15-5,063-461-6222,0
플로라펜션,전라북도 부안군 변산면 도청두포길 23-11,063-582-1800,0
아크로호텔,전라북도 군산시 소룡1길 53,063-464-8000,0
비타민호텔,전라북도 군산시 비응남1길 21,0507-1406-5858,0
링스모텔,전라북도 군산시 장미1길 23,0507-1302-6070,0
사랑나무 한옥펜션,전라북도 전주시 완산구 은행로 96,010-5176-7970,0
쏠모텔,전라북도 군산시 상나운3길 11,063-468-4482,0
더샾모텔,전라북도 군산시 서래내길 39,063-445-7970,0
블루모텔,전라북도 군산시 백릉안1길 9,063-442-8261,0
달,전라북도 군산시 구영3길 21-2,010-9548-3383,0
그 여자네 집,전라북도 전주시 완산구 향교길 101,010-2480-3055,0
파라다이스 호텔,전라북도 군산시 조촌1길 21,0507-1394-3390,0
대성 정담한옥[한국관광 품질인증/Korea Quality],전라북도 전주시 완산구 고덕산1길 30,010-8753-3413,0
하늘풍경,전라북도 전주시 완산구 향교길 51-13,010-2429-0813,0
국일모던 게스트하우스,전라북도 군산시 중앙로 183,010-2247-3747,0
전통문화체험장,전라북도 완주군 대아저수로 416 완주전통문화체험장,010-4297-9373,0
콩쥐팥쥐 관광 한옥리조트,전라북도 완주군 이서면 신지앵곡길 237-10,063-908-2002,0
전주한옥고희,전라북도 전주시 완산구 빙고리3길 5,010-5035-2354,1
똘랑(똘랑코티지),전라북도 전주시 완산구 서학로 63-17,010-3041-8677,0
뜨레가,전라북도 전주시 완산구 전주천동로 58-10,010-3457-0061,0
산들 게스트하우스,전라북도 군산시 동국사길 7-3,063-442-1514,0
예원당(한옥체험 예원당),전라북도 전주시 완산구 어진길 33-10,010-6524-1145,0
라한호텔 전주,전라북도 군산시 구영1길 6,,0
쿨쿨달몽,전라북도 무주군 구천동로 1051,010-7740-8877,0
무주오리펜션,전라북도 전주시 완산구 향교길 155-11,010-2254-3031,0
아뜰리에 걷다가,전라북도 무주군 설천면 만선로 36-37,010-6624-1719,0
스노우밸리펜션(스노우밸리),전라북도 군산시 구영3길 67,010-5953-2824,0
꿀잠,전라북도 무주군 설천면 보안길 90,0507-1430-6566,0
양지 뜰 펜션(무주양지뜰펜션),전라북도 전주시 완산구 동문길 57-8,010-4414-5904,0
마이스테이,전라북도 전주시 완산구 팔달로 58-3,010-9020-3177,0
도원,전라북도 전주시 완산구 경기전길 125-9,010-5936-9941,0
가원당,전라북도 군산시 은파순환길 20 (나운동),010-3077-8535,0
호텔은파팰리스,전라북도 남원시 운봉읍 용산리,063-467-7000,0
오헤브데이호텔,전라북도 부안군 변산면 격포리,0507-1382-8005,0
해피트리가족호텔,전라북도 전주시 완산구 오목대길 5-19 (교동),010-3004-8000,0
이오이일,전라북도 전주시 완산구 전주천서로 81 (동서학동),010-9617-2523,0
엔브릿지호텔,전라북도 전주시 완산구 전주객사4길 74-50 (고사동),063-232-6000,0
